Nr,Model_Name,lid_pos,cam_pos,ra_pos,lid_dim,cam_dim,ra_dim,lid_yaw,cam_yaw,ra_yaw,lid_vel,cam_vel,ra_vel,lid_drop,cam_drop,ra_drop,lid_clas,cam_clas,ra_clas,lid_at,cam_at,ra_at,FP,NDS,,,,,,,,,,,,,,,,,,,,,,
4,M_GT,3,0,0,2.266666667,0.7,0.566666667,7.6,0,3.8,0,32,0,0,1.666666667,4.666666667,1.2,1.8,1.8,1.8,1.2,1.8,5.333333333,0.165212451,,,,,,,,,,,,,,,,,,,,,,
5,M_GT,0,1.466666667,1.266666667,3.4,2.1,0,5.066666667,5.5,3.8,20,32,0,0,3.333333333,7,1.8,1.8,0,1.2,0,1.8,0,0.245403608,,,,,,,,,,,,,,,,,,,,,,
6,M_GT,1,2.2,1.266666667,3.4,1.4,0.566666667,0,0,0,0,32,51.33333333,8,1.666666667,4.666666667,0,0,0.6,1.2,1.8,1.8,8,0.298925684,,,,,,,,,,,,,,,,,,,,,,
7,M_GT,0,1.466666667,1.9,1.133333333,0,1.133333333,7.6,3.666666667,0,0,0,77,8,3.333333333,0,1.8,0,0,0.6,0.6,1.8,8,0.235438529,,,,,,,,,,,,,,,,,,,,,,
8,M_GT,2,1.466666667,0,0,1.4,1.7,0,5.5,0,0,10.66666667,0,0,5,7,1.2,0,1.8,1.2,0,1.2,0,0.388938969,,,,,,,,,,,,,,,,,,,,,,
9,M_GT,1,2.2,0.633333333,0,1.4,0,0,5.5,2.533333333,13.33333333,0,25.66666667,2.666666667,0,7,0,1.8,0,1.8,0,0,5.333333333,0.420453963,,,,,,,,,,,,,,,,,,,,,,
10,M_GT,2,2.2,0,0,0.7,1.7,5.066666667,1.833333333,1.266666667,6.666666667,0,51.33333333,0,1.666666667,2.333333333,1.2,0,1.8,0,0,1.8,0,0.23909717,,,,,,,,,,,,,,,,,,,,,,
11,M_GT,3,1.466666667,0.633333333,0,2.1,0.566666667,7.6,1.833333333,1.266666667,20,0,0,0,5,7,0,1.8,0,1.8,1.8,1.2,8,0.246663301,,,,,,,,,,,,,,,,,,,,,,
12,M_GT,1,0,0,2.266666667,2.1,1.7,5.066666667,3.666666667,1.266666667,13.33333333,0,51.33333333,8,3.333333333,7,0.6,1.8,1.8,1.8,1.8,1.8,2.666666667,0.142520817,,,,,,,,,,,,,,,,,,,,,,
13,M_GT,0,2.2,1.9,3.4,0,0,5.066666667,5.5,3.8,6.666666667,21.33333333,25.66666667,8,0,0,0,1.2,0,0.6,1.8,0.6,8,0.201650291,,,,,,,,,,,,,,,,,,,,,,
14,M_GT,3,1.466666667,1.9,3.4,2.1,1.7,5.066666667,5.5,1.266666667,13.33333333,0,25.66666667,0,3.333333333,0,0,1.2,0.6,0,0,0,0,0.152111997,,,,,,,,,,,,,,,,,,,,,,
15,M_GT,0,0,1.9,3.4,2.1,1.7,7.6,1.833333333,0,20,32,0,5.333333333,0,4.666666667,0,1.2,1.2,1.8,0,0,8,0.226680304,,,,,,,,,,,,,,,,,,,,,,
16,M_GT,3,0,1.9,0,0.7,0.566666667,0,5.5,2.533333333,0,21.33333333,0,8,0,7,1.8,0,0.6,1.8,1.2,1.8,2.666666667,0.165035624,,,,,,,,,,,,,,,,,,,,,,
17,M_GT,3,0.733333333,1.9,2.266666667,0,1.7,2.533333333,5.5,0,0,32,0,0,5,2.333333333,1.8,1.8,1.2,0.6,1.8,1.8,8,0.229160659,,,,,,,,,,,,,,,,,,,,,,
18,M_GT,2,0,0,1.133333333,2.1,0.566666667,5.066666667,0,3.8,0,32,51.33333333,8,0,0,1.2,0,0,0.6,0,0,2.666666667,0.177959344,,,,,,,,,,,,,,,,,,,,,,
19,M_GT,0,1.466666667,1.9,2.266666667,0,0.566666667,2.533333333,0,3.8,20,21.33333333,77,0,0,4.666666667,0.6,1.2,0,0,0,0,8,0.414796316,,,,,,,,,,,,,,,,,,,,,,
20,M_GT,0,0.733333333,1.9,1.133333333,0,1.7,0,5.5,0,20,10.66666667,0,2.666666667,0,0,1.2,1.8,0,0,0,0,0,0.389294554,,,,,,,,,,,,,,,,,,,,,,
21,M_GT,2,2.2,0,0,0,1.133333333,0,0,2.533333333,0,0,0,0,5,4.666666667,0.6,1.2,1.8,0.6,1.8,1.2,8,0.399047152,,,,,,,,,,,,,,,,,,,,,,
22,M_GT,3,2.2,0.633333333,3.4,2.1,1.133333333,7.6,3.666666667,2.533333333,20,21.33333333,51.33333333,8,5,7,1.8,0,0,0,1.8,0,0,0.056772328,,,,,,,,,,,,,,,,,,,,,,
23,M_GT,3,0,1.9,3.4,2.1,1.7,0,3.666666667,0,0,0,51.33333333,8,0,2.333333333,0,1.8,0,1.8,1.2,1.8,0,0.210743965,,,,,,,,,,,,,,,,,,,,,,
24,M_GT,3,2.2,1.266666667,2.266666667,0.7,0,7.6,3.666666667,3.8,0,0,77,8,3.333333333,0,0,0,1.8,0,1.2,0.6,8,0.15450877,,,,,,,,,,,,,,,,,,,,,,
25,M_GT,3,2.2,0,1.133333333,0.7,0,7.6,5.5,1.266666667,20,32,77,0,3.333333333,7,0,1.8,1.2,1.2,0,1.8,8,0.202162629,,,,,,,,,,,,,,,,,,,,,,
26,M_GT,3,0,1.9,0,2.1,1.7,7.6,1.833333333,3.8,0,32,51.33333333,5.333333333,5,7,1.8,0,0.6,0,0,0,8,0.128519946,,,,,,,,,,,,,,,,,,,,,,
27,M_GT,0,2.2,0,3.4,0,1.133333333,5.066666667,5.5,0,13.33333333,32,77,8,0,7,0,0,1.8,1.8,0.6,1.2,5.333333333,0.25017191,,,,,,,,,,,,,,,,,,,,,,
28,M_GT,3,2.2,1.9,0,2.1,1.7,0,3.666666667,2.533333333,20,32,77,2.666666667,3.333333333,4.666666667,0,1.8,0,0.6,1.8,0.6,0,0.298108474,,,,,,,,,,,,,,,,,,,,,,
29,M_GT,3,2.2,0.633333333,0,1.4,1.7,7.6,1.833333333,3.8,20,0,0,8,0,0,1.8,0.6,1.8,0,1.8,1.8,2.666666667,0.123608238,,,,,,,,,,,,,,,,,,,,,,
30,M_GT,2,0.733333333,0.633333333,3.4,0.7,1.133333333,0,0,2.533333333,13.33333333,21.33333333,25.66666667,2.666666667,3.333333333,2.333333333,0.6,0,1.8,0.6,1.2,1.8,2.666666667,0.190049146,,,,,,,,,,,,,,,,,,,,,,
31,M_GT,1,0.733333333,0,1.133333333,1.4,0.566666667,5.066666667,5.5,1.266666667,20,0,77,5.333333333,5,7,0,1.8,1.2,1.2,0.6,0,0,0.215918732,,,,,,,,,,,,,,,,,,,,,,
32,M_GT,1,0,1.266666667,3.4,1.4,0.566666667,7.6,0,2.533333333,0,32,0,0,5,7,0,1.2,1.8,1.8,0.6,0.6,0,0.295410343,,,,,,,,,,,,,,,,,,,,,,
33,M_GT,0,2.2,0,1.133333333,2.1,1.133333333,7.6,0,3.8,6.666666667,0,77,2.666666667,1.666666667,0,1.8,0,0.6,0,1.8,0,0,0.266269256,,,,,,,,,,,,,,,,,,,,,,
34,M_GT,3,2.2,1.9,3.4,2.1,1.7,5.066666667,0,3.8,20,21.33333333,0,2.666666667,5,0,0.6,0,0,1.2,1.2,0,0,0.10322607,,,,,,,,,,,,,,,,,,,,,,
35,M_GT,2,2.2,1.266666667,3.4,2.1,1.7,0,0,3.8,13.33333333,0,77,5.333333333,0,7,1.8,1.2,0,0,0,1.8,0,0.134974801,,,,,,,,,,,,,,,,,,,,,,
36,M_GT,0,0,1.9,0,2.1,0,0,5.5,2.533333333,13.33333333,21.33333333,77,5.333333333,3.333333333,4.666666667,0.6,0.6,0,0,0,1.8,0,0.392263258,,,,,,,,,,,,,,,,,,,,,,
37,M_GT,1.5,1.1,0.95,1.7,1.05,0.85,3.8,2.75,1.9,10,16,38.5,4,2.5,3.5,0.9,0.9,0.9,0.9,0.9,0.9,4,0.168621691,,,,,,,,,,,,,,,,,,,,,,
38,M_GT,2,0.733333333,0,0,0.7,1.7,7.6,0,3.8,0,21.33333333,25.66666667,0,5,0,0,1.8,0.6,1.8,1.8,0,0,0.371337704,,,,,,,,,,,,,,,,,,,,,,
39,M_GT,0,2.2,0.633333333,0,0,0,0,5.5,0,20,0,77,2.666666667,3.333333333,7,1.8,1.8,0.6,0.6,0.6,0,0,0.421662958,,,,,,,,,,,,,,,,,,,,,,
40,M_GT,0,2.2,1.266666667,3.4,0,0,2.533333333,3.666666667,3.8,20,10.66666667,0,0,5,4.666666667,0,0,0,0,1.8,0,0,0.469016718,,,,,,,,,,,,,,,,,,,,,,
41,M_GT,0,2.2,1.9,2.266666667,2.1,0.566666667,0,1.833333333,2.533333333,0,0,0,8,1.666666667,2.333333333,1.8,1.8,1.2,1.8,0.6,0,8,0.197197082,,,,,,,,,,,,,,,,,,,,,,
42,M_GT,0,1.466666667,0,2.266666667,1.4,1.7,7.6,5.5,1.266666667,20,32,25.66666667,0,1.666666667,2.333333333,0.6,1.2,1.8,1.8,1.2,1.2,2.666666667,0.336667443,,,,,,,,,,,,,,,,,,,,,,
43,M_GT,2,1.466666667,0.633333333,3.4,2.1,0,7.6,5.5,0,6.666666667,10.66666667,77,8,5,2.333333333,1.8,1.2,1.8,1.8,0,0,0,0.152371872,,,,,,,,,,,,,,,,,,,,,,
44,M_GT,3,2.2,0.633333333,0,0,0,7.6,0,3.8,0,0,77,0,0,4.666666667,1.2,0,0,1.2,0,1.2,2.666666667,0.242684157,,,,,,,,,,,,,,,,,,,,,,
